UPC,Item_Number,Quantity_NC,Quantity_AZ,Total,Dealer Price,Sale Price
810042110618,AM568300,37,0,37,29.99,
810042112186,AM768300,35,0,35,22.99,
713780856018,85601-MET,14,8,22,549.99,
713780856025,85602,0,0,0,619.99,
713780856049,85604,2,0,2,549.99,
713780856056,85605,0,0,0,619.99,
713780856070,85607,0,0,0,549.99,
713780856087,85608,0,0,0,619.99,
713780856100,85610,13,49,62,579.99,
713780856124,85612,1,22,23,659.99,
713780856148,85614,10,16,26,579.99,
713780856155,85615,0,0,0,659.99,
713780856179,85617,5,6,11,579.99,
713780856186,85618,0,0,0,659.99,
713780856209,85620,2,2,4,594.99,
713780856223,85622,0,0,0,669.99,
713780856247,85624,5,6,11,594.99,
713780856254,85625,0,6,6,669.99,
713780856353,85635-MET,4,1,5,769.99,
813393018497,ATIGFXH45,0,0,0,454.95,
819644025399,ATIGFXH45M,0,0,0,359.95,
819644028284,ATIGFXS917,5,0,5,279.95,
819644025610,ATIGOMX556MP4,0,0,0,354.95,
813393012600,GERG1911ADOP,13,34,47,279.95,254.95
819644029069,GERG1911ADOPGR,0,0,0,279.95,
813393019425,GERG2210FF,63,0,63,209.95,194.95
813393019562,GERG2210FFG,31,63,94,209.95,194.95
819644026211,GERG2210FFL,12,37,49,,
819644027560,GERG2210FFM,3,12,15,209.95,
819644027256,GERG2210FFS,6,12,18,209.95,
813393019555,GERG2210FFT,8,49,57,209.95,
813393016806,GERG2210GSG9CA,0,0,0,279.95,
813393011504,GERG2210M1911,73,41,114,269.95,
813393013959,GERG2210M1911CA,20,11,31,279.95,
813393018435,GERG2210M1911G,45,28,73,269.95,269.95
813393013911,GERG2210M1911S,81,85,166,269.95,
813393018442,GERG2210M1911T,43,46,89,269.95,254.95
813393019685,GERG2210TFF,69,1,70,209.95,
819644022060,GERG2210TFFL,51,19,70,209.95,
819644027577,GERG2210TFFM,99,75,174,209.95,
819644027065,GERG2210TFFS,5,39,44,209.95,
813393019692,GERG2210TFFT,8,20,28,209.95,
853267007851,GERGMP409X,0,0,0,479.95,
819644026037,ATIG12BDB,0,0,0,329.95,
819644021551,ATIG12NMD18,0,0,0,79.95,
819644024392,ATIG12NMD23C,0,8,8,119.95,
819644021568,ATIG12NMD28,0,0,0,79.95,
819644026839,ATIG12SC26PP,5,0,5,179.95,
819644026792,ATIG12SC26PW,5,0,5,199.95,
819644029243,ATIG15MS410G2,0,0,0,409.95,
819644025290,ATIG15MS556MLP3,0,0,0,399.95,
819644021575,ATIG20NMD18,1,0,1,79.95,
819644024408,ATIG20NMD23C,0,0,0,119.95,
819644021582,ATIG20NMD26,5,0,5,79.95,
819644026846,ATIG20SC26PP,0,0,0,179.95,
819644021599,ATIG410NMD18,0,0,0,79.95,
819644024415,ATIG410NMD23C,0,0,0,119.95,
819644021605,ATIG410NMD26,0,0,0,79.95,
813393016134,ATIGKOF12SVE,29,19,48,479.95,
819644027270,ATIGKOF12SVE30,3,10,13,479.95,
813393016141,ATIGKOF20SVE,18,8,26,479.95,
813393016158,ATIGKOF410SVE,2,6,8,479.95,
892756002687,ATIGLOWMS,0,69,69,41.95,
819644024057,ATIGOMX55615D,0,0,0,429.99,
819644023630,ATIGOMX556FDE15,0,15,15,429.99,
819644025535,ATIGOMX556MP3PF,0,0,0,369.95,
819644021476,GERGGSG1622,0,0,0,299.95,
819644025122,GERGGSG1622G,0,5,5,299.95,
819644025740,GERGGSG1622ML,0,0,0,299.95,
819644027072,GERGGSG1622S,0,0,0,299.95,
819644025139,GERGGSG1622T,0,0,0,299.95,
819644026273,ATIM12BD10,0,0,0,24.95,
819644026679,ATIM12BD5,15,13,28,18.95,
813393019043,ATIM410GA15,0,0,0,23.95,
813393019036,ATIM410GA5,0,0,0,16.95,
813393019579,GERMFF10,70,0,70,19.95,
819644022862,GERMGSG16TP22,0,0,0,29.95,
813393012655,GERMM1911,25,0,25,19.95,
813393019722,GERMMP40925,0,0,0,39.95,
819644027348,ATIARWRENCH2D,0,0,0,23.95,
819644023050,ATINSGLOLF,10,0,10,47.95,
813393011634,ATIDUOSIGHT,0,0,0,34.95,
644406904465,GFT-114,0,1,1,29.49,
644406900283,GL-113,0,0,0,58.49,
644406900344,GL-119,3,0,3,58.49,
644406903055,GL-201,1,2,3,58.49,
644406908746,GL-430,0,0,0,58.49,
644406903246,GL-433,3,2,5,47.49,
644406903253,GL-434,2,2,4,47.49,
644406908807,GL-436,1,2,3,47.49,
644406911395,GL-5433,2,0,2,,
644406911302,GL-816,0,2,2,70.59,
644406911319,GL-817,0,2,2,70.59,
644406911326,GL-818,2,0,2,70.59,
644406911340,GL-819,2,0,2,70.59,
644406911357,GL-820,0,0,0,70.59,
644406911364,GL-821,1,0,1,70.59,
644406911371,GL-822,2,0,2,,
644406911333,GL-823,1,2,3,70.59,
644406905998,SW-145,1,1,2,58.49,
