itemNumber,upc,mfgModelNumber,quantity,allocated,onSale,price,currentPrice,retailMap
SI365XCA9COMP,798681669981,365XCA-9-COMP,100,False,False,697.0,697.0,799.99
AIACMUBAT160N,658175112280,ACMUBAT160N,5,False,False,102.22,102.22,119.0
AILBLRF1000B,658175114529,LBLRF1000B,0,False,False,250.0,250.0,299.0
AITIWST4382A,658175115083,TIWST4382A,0,False,False,1839.13,1839.13,2199.0
AITIWST4387A,658175115106,TIWST4387A,1,False,False,2507.61,2507.61,2999.0
AITIWST4642A,658175115120,TIWST4642A,0,False,False,2758.7,2758.7,3299.0
BEJ131C14N,082442884752,J131C14N,0,True,False,1120.0,1120.0,1349.0
BGBPR2065MCHB,043125065172,BPR20-65MCHB,0,False,False,1369.24,1369.24,1649.99
BGBPR22300PRCF,043125300211,BPR22-300PRCF,0,False,False,1840.43,1840.43,2149.99
BGBPR2265F,043125065127,BPR22-65F,0,False,False,1785.0,1785.0,2099.99
BGBPR2265PRCF,043125065134,BPR22-65PRCF,0,False,False,1840.43,1840.43,2149.99
AOMCA30MAG,602686430067,MCA30MAG,6,False,False,33.44,33.44,0.0
BL410200BKR,604544648065,410200BKR,10,False,False,38.69,38.69,0.0
BL410564BK-R,604544616903,410564BK-R,8,False,False,31.54,31.54,0.0
BL410568BK-L,604544616231,410568BK-L,10,False,False,31.54,31.54,0.0
BL410541BK-R,648018127342,410541BK-R,8,False,False,31.54,31.54,0.0
BL410700BKL,604544648003,410700BKL,9,False,False,38.69,38.69,0.0
BL410757BKR,604544648041,410757BKR,10,False,False,38.69,38.69,0.0
BL410540BK-R,648018116841,410540BK-R,9,False,False,31.54,31.54,0.0
BL410532BK-R,648018127335,410532BK-R,4,False,False,31.54,31.54,0.0
BL410503BK-L,648018013898,410503BK-L,5,False,False,31.54,31.54,0.0
BL410520BK-L,648018047909,410520BK-L,4,False,False,31.54,31.54,0.0
BL410528BK-R,648018142574,410528BK-R,1,False,False,31.54,31.54,0.0
BL410261BKR,604544648089,410261BKR,3,False,False,38.69,38.69,0.0
BL410529BK-R,648018117343,410529BK-R,1,False,False,31.54,31.54,0.0
BEJM4PX4014,082442553160,JM4PX4014,1,False,False,25.0,25.0,0.0
BEJMM9A310,082442867700,JMM9A310,2,False,False,31.0,31.0,0.0
BR12503,023614047599,12503,4,False,False,38.75,38.75,0.0
BSTHN380BLMAGFB,810083204215,THUN380BLMAGFB,0,False,False,27.06,27.06,0.0
BSTHUN40MHCMAG,810083204314,THUN40MHCMAG,2,False,False,35.29,35.29,0.0
BT358000300,754908212408,358-0003-00,0,False,False,20.33,20.33,0.0
BU200162,000381001627,200162,22,False,False,119.78,119.78,159.0
BT920451613L,662205988851,920451613L,0,True,False,480.54,480.54,0.0
BR051-497490,023614043379,051497490,1,False,False,429.0,429.0,499.99
BR035-438227,023614679349,035438227,0,True,False,1099.0,1099.0,1299.99
BR035-208226,023614258087,035208226,0,True,False,809.0,809.0,949.99
BR035-208229,023614258100,035208229,0,True,False,839.0,839.0,999.99
BEJMU22,082442808017,JMU22,0,False,False,16.0,16.0,0.0
BR035-208282,023614442820,035208282,0,False,False,809.0,809.0,949.99
BR051-448490,023614259541,051448490,1,False,False,399.0,399.0,479.99
BR035-451229,023614735205,035451229,0,False,False,2589.0,2589.0,2859.99
BR035-496211,023614739845,035496211,0,False,False,749.0,749.0,879.99
BR035-496224,023614739906,035496224,0,True,False,749.0,749.0,879.99
BR035-499294,023614740339,035499294,0,False,False,1049.0,1049.0,1229.99
BR035-440218,023614686743,035440218,0,True,False,829.0,829.0,979.99
BL417567UG,604544615609,417567UG,23,False,False,16.06,16.06,0.0
BEJ90A1M9A1F19,082442736372,J90A1M9A1F19,0,False,False,389.0,389.0,419.0
BEJM904P12,082442596433,JM904P12,2,False,False,24.0,24.0,0.0
BEJMAPX1840,082442873497,JMAPX1840,2,False,False,24.0,24.0,0.0
BR035-235218,023614067283,035235218,0,True,False,1239.0,1239.0,1449.99
BEJS92F520M,082442868851,JS92F520M,0,True,False,750.0,750.0,879.0
BEJXF4F20CA,082442885698,JXF4F20CA,1,False,False,540.0,540.0,649.0
BU200641,000381006417,200641,4,False,False,631.99,631.99,860.0
CTLG-306,610242003068,LG-306,0,False,False,233.17,233.17,289.95
CTLG-360G,610242006120,LG-360G,0,False,False,230.82,230.82,279.95
CTLG-404G,610242004829,LG-404G,0,False,False,310.89,310.89,369.95
CTLG-405,610242004058,LG-405,0,False,False,235.53,235.53,289.95
CTLG-416,610242009114,LG-416,0,False,False,164.87,164.87,204.95
CTLG-416G,610242009121,LG-416G,3,False,False,230.82,230.82,279.95
CTLG-105,610242001057,LG-105,2,False,False,164.87,164.87,204.95
CTCMR-205,610242005239,CMR-205,12,False,False,210.8,210.8,259.95
DD0100408020006,815604014052,01-004-08020-006,0,False,False,379.0,379.0,486.0
DD2810206145012,815604016551,28-102-06145-012,0,False,False,102.0,102.0,131.0
CTLG-111,610242001118,LG-111,0,False,False,164.87,164.87,204.95
DD4215907265,818773021081,42-159-07265,0,False,False,1459.0,1459.0,1871.0
DD0215707258055,818773021340,02-157-07258-055,0,True,False,2175.0,2175.0,2789.0
DD0216530063055,818773021265,02-165-30063-055,0,False,False,2175.0,2175.0,2789.0
DD0304707246,818773020824,03-047-07246,0,False,False,131.0,131.0,168.0
DD0604910697,818773020671,06-049-10697,0,False,False,115.0,115.0,147.0
DD0604911048,818773020763,06-049-11048,0,False,False,115.0,115.0,147.0
CZ11750,806703117508,11750,1,False,False,33.44,33.44,0.0
CZ91731,806703917313,91731,0,False,False,2108.07,2108.07,0.0
CD930.126,8053670719774,930.126,2,False,False,656.76,656.76,0.0
CD930.128,8053670719798,930.128,1,False,False,1042.85,1042.85,0.0
CI500.145,8053670712072,500.145,0,False,False,182.31,182.31,0.0
DEBP1054P,848456001369,BP1054P,3,False,False,8.5,8.5,0.0
CZ02345,806703023458,02345,0,False,False,688.13,688.13,0.0
CTLG-497G,610242008452,LG-497G,2,False,False,230.82,230.82,279.95
CTLG-639,610242005321,LG-639,1,False,False,182.53,182.53,229.95
CTLG-660,610242006601,LG-660,0,False,False,250.83,250.83,309.95
CTLG-497,610242008469,LG-497,5,False,False,164.87,164.87,204.95
CTLG-950,610242006847,LG-950,0,False,False,265.36,265.36,319.95
CTLL-803,610242006687,LL-803,0,False,False,210.74,210.74,259.95
CTLL-807,610242008186,LL-807,4,False,False,210.74,210.74,259.95
CTLL-808,610242008209,LL-808,0,False,False,210.74,210.74,359.95
CTLG-492G,610242006656,LG-492G,0,False,False,230.82,230.82,279.95
CTLG-433,610242000784,LG-433,0,False,False,164.87,164.87,204.95
CTLG-436,610242000586,LG-436,0,False,False,207.27,207.27,259.95
CTLG-443,610242005598,LG-443,0,False,False,164.87,164.87,204.95
CTLG-446,610242004461,LG-446,0,False,False,250.83,250.83,309.95
CTLG-448,610242001200,LG-448,0,False,False,164.87,164.87,204.95
CTLG-469,610242004638,LG-469,1,False,False,164.87,164.87,204.95
CTLG-482,610242007226,LG-482,0,False,False,164.87,164.87,204.95
CTLG-482G,610242007233,LG-482G,1,False,False,230.82,230.82,279.95
CTLG-485,610242008025,LG-485,1,False,False,164.87,164.87,204.95
CTLG-492,610242001187,LG-492,0,False,False,164.87,164.87,204.95
CZ01884,806703018843,01884,0,True,False,1410.35,1410.35,0.0
CZ01912,806703019123,01912,0,True,False,1540.3,1540.3,0.0
CTLG-429,610242000326,LG-429,0,False,False,250.83,250.83,309.95
BR12501,023614047575,12501,0,False,False,38.75,38.75,0.0
BR013-6243010,023614400677,0136243010,0,True,False,3029.0,3029.0,3529.99
BR013-531912,023614044024,013531912,0,True,False,2689.0,2689.0,3149.99
BR013-531911,023614044031,013531911,0,True,False,2689.0,2689.0,3149.99
GT34590,609224345906,12111,0,False,False,794.0,794.0,0.0
GT34686,609224346866,12123,0,False,False,276.0,276.0,0.0
GT34705,609224347054,12144,2,False,False,118.89,118.89,0.0
GT34581,609224345814,12191,0,False,False,117.78,117.78,0.0
GT34718,609224347184,12194,2,False,False,59.77,59.77,0.0
GT34759,609224347597,12142,1,False,False,118.89,118.89,0.0
GT88941,609728889418,12212,1,False,False,7.5,7.5,0.0
GT88934,609728889340,12171,3,False,False,62.07,62.07,0.0
NONAAMMTC,744253000614,NAA-MMTC,0,False,False,342.57,342.57,0.0
HK970174,642230255333,970174,0,False,False,21.0,21.0,0.0
NONAA25NAA,744253000966,NAA-25NAA,0,True,False,290.42,290.42,0.0
MRBFR454C6,761226028543,BFR454C6,0,True,False,1082.5,1082.5,0.0
NOHPTD-L,744253054361,HPTD-L,7,False,False,33.2,33.2,0.0
MRMAG4010,761226019947,MAG4010,0,False,False,41.51,41.51,0.0
RUAMER-PH7M08,736676269235,26923,0,False,False,526.0,526.0,0.0
RU6K,736676902842,90284,2,False,False,24.77,24.77,0.0
RUAMERRFTPCI22L,736676083725,8372,0,False,False,380.0,380.0,0.0
RUAMERPT350LEG,736676369003,36900,0,False,False,460.78,460.78,0.0
RI55086,4806015550860,55086,0,False,False,16.08,16.08,0.0
RI51815,4806015518150,51815,0,False,False,388.8,388.8,0.0
RI51865,4806015518655,51865,0,False,False,528.35,528.35,0.0
MRDE44,761226022756,DE44,0,True,False,1455.8,1455.8,0.0
HK81000263,642230258778,81000263,0,False,False,629.0,629.0,749.0
HK217439S,642230247284,217439S,0,False,False,32.0,32.0,0.0
HK234656S,642230249493,234656S,0,False,False,67.0,67.0,0.0
KEKSA2152,611613021520,KSA2152,0,False,False,300.39,300.39,0.0
KEKSA20460,611613204602,KSA20460,3,False,False,450.59,450.59,569.0
KAK920G,602686040228,K920G,0,False,False,28.82,28.82,0.0
KAMK620,602686060127,MK620,0,False,False,26.52,26.52,0.0
