UPC,D-Q,D-P,D-SP,S-Q,S-P,Z-P,Z-Q,L-Q,L-P,Best Price,Best Price Vendor,Best Price Quantity
810042110618,37,29.99,,0,,27.99,0,86,30.35,27.99,Zanders,0
810042112186,35,22.99,,0,,20.99,30,0,,20.99,Zanders,30
713780856018,22,549.99,,25,499.0,484.99,2,8,521.72,484.99,Zanders,2
713780856025,0,619.99,,0,599.99,583.99,0,0,586.94,583.99,Zanders,0
713780856049,2,549.99,,19,533.32,479.99,0,12,481.72,479.99,Zanders,0
713780856056,0,619.99,,0,599.99,583.99,0,7,586.94,583.99,Zanders,0
713780856070,0,549.99,,0,533.32,518.99,0,0,521.72,518.99,Zanders,0
713780856087,0,619.99,,0,599.99,583.99,0,0,586.94,583.99,Zanders,0
713780856100,62,579.99,,25,566.66,532.99,1,5,534.34,532.99,Zanders,1
713780856124,23,659.99,,9,644.43,626.99,0,0,630.43,626.99,Zanders,0
713780856148,26,579.99,,25,529.0,550.99,5,15,514.34,514.34,Lipseys,15
713780856155,0,659.99,,4,644.43,626.99,0,0,630.43,626.99,Zanders,0
713780856179,11,579.99,,11,566.66,550.99,0,0,554.34,550.99,Zanders,0
713780856186,0,659.99,,0,644.43,626.99,0,0,630.43,626.99,Zanders,0
713780856209,4,594.99,,14,577.77,509.99,0,7,525.21,509.99,Zanders,0
713780856223,0,669.99,,9,655.54,637.99,0,3,641.3,637.99,Zanders,0
713780856247,11,594.99,,22,577.77,561.99,1,7,545.21,545.21,Lipseys,7
713780856254,6,669.99,,23,599.0,637.99,2,9,641.3,599.0,SportsSouth,23
713780856353,5,769.99,,0,744.43,723.99,0,0,728.25,723.99,Zanders,0
813393018497,0,454.95,,0,448.31,454.95,0,0,,448.31,SportsSouth,0
819644025399,0,359.95,,0,352.81,359.95,0,0,,352.81,SportsSouth,0
819644028284,5,279.95,,24,268.54,249.95,29,0,279.95,249.95,Zanders,29
819644025610,0,354.95,,0,347.19,354.95,0,0,354.95,347.19,SportsSouth,0
813393012600,47,279.95,254.95,25,273.03,269.95,24,0,,254.95,Davidsons,47
819644029069,0,279.95,,0,,279.95,19,0,,279.95,Zanders,19
813393019425,63,209.95,194.95,25,202.25,194.95,17,21,199.95,194.95,Davidsons,17
813393019562,94,209.95,194.95,25,202.25,209.95,20,34,199.95,194.95,Davidsons,94
819644026211,49,,,0,,209.95,3,0,,209.95,Zanders,3
819644027560,15,209.95,,21,202.25,199.95,12,40,199.95,199.95,Zanders,12
819644027256,18,209.95,,25,202.25,209.95,13,81,199.95,199.95,Lipseys,81
813393019555,57,209.95,,25,202.25,209.95,0,0,209.95,202.25,SportsSouth,25
813393016806,0,279.95,,0,273.03,,0,0,,273.03,SportsSouth,0
813393011504,114,269.95,,25,261.8,269.95,14,41,269.95,261.8,SportsSouth,25
813393013959,31,279.95,,1,273.03,,0,1,269.95,269.95,Lipseys,1
813393018435,73,269.95,269.95,25,261.8,254.95,39,9,269.95,254.95,Zanders,39
813393013911,166,269.95,,25,261.8,254.95,44,0,,254.95,Zanders,44
813393018442,89,269.95,254.95,25,261.8,269.95,0,6,269.95,254.95,Davidsons,89
813393019685,70,209.95,,25,202.25,209.95,14,96,209.95,202.25,SportsSouth,25
819644022060,70,209.95,,25,202.25,199.95,60,17,209.95,199.95,Zanders,60
819644027577,174,209.95,,25,202.25,199.95,37,18,209.95,199.95,Zanders,37
819644027065,44,209.95,,25,202.25,209.95,9,64,199.95,199.95,Lipseys,64
813393019692,28,209.95,,25,202.25,209.95,12,14,209.95,202.25,SportsSouth,25
853267007851,0,479.95,,0,470.79,479.95,0,0,479.95,470.79,SportsSouth,0
819644026037,0,329.95,,0,316.67,329.95,0,0,329.95,316.67,SportsSouth,0
819644021551,0,79.95,,0,,84.95,17,0,,79.95,Davidsons,0
819644024392,8,119.95,,0,,,0,0,119.95,119.95,Davidsons,8
819644021568,0,79.95,,0,,84.95,0,0,,79.95,Davidsons,0
819644026839,5,179.95,,10,178.65,,0,0,,178.65,SportsSouth,10
819644026792,5,199.95,,2,189.89,,0,0,,189.89,SportsSouth,2
819644029243,0,409.95,,0,398.89,409.95,0,0,409.95,398.89,SportsSouth,0
819644025290,0,399.95,,0,387.78,399.95,0,0,,387.78,SportsSouth,0
819644021575,1,79.95,,0,,84.95,6,0,,79.95,Davidsons,1
819644024408,0,119.95,,0,,,0,0,119.95,119.95,Davidsons,0
819644021582,5,79.95,,0,,84.95,18,0,,79.95,Davidsons,5
819644026846,0,179.95,,2,178.65,,0,0,,178.65,SportsSouth,2
819644021599,0,79.95,,0,,84.95,0,0,,79.95,Davidsons,0
819644024415,0,119.95,,0,,,0,0,,119.95,Davidsons,0
819644021605,0,79.95,,0,,84.95,0,0,,79.95,Davidsons,0
813393016134,48,479.95,,25,465.56,444.95,96,15,479.95,444.95,Zanders,96
819644027270,13,479.95,,22,465.56,444.95,9,8,479.95,444.95,Zanders,9
813393016141,26,479.95,,25,465.56,444.95,9,19,479.95,444.95,Zanders,9
813393016158,8,479.95,,0,,444.95,50,0,479.95,444.95,Zanders,50
892756002687,69,41.95,,0,43.21,41.95,0,0,41.95,41.95,Davidsons,69
819644024057,0,429.99,,0,,,0,0,,429.99,Davidsons,0
819644023630,12,429.99,,0,,,0,0,,429.99,Davidsons,12
819644025535,0,369.95,,0,,,0,0,369.95,369.95,Davidsons,0
819644021476,0,299.95,,0,298.88,299.95,34,0,299.95,298.88,SportsSouth,0
819644025122,3,299.95,,0,298.88,299.95,0,0,299.95,298.88,SportsSouth,0
