I,Q,P,UPC
144,0,1344.78,602686441001
145,0,1701.15,602686441100
219,0,366.96,744253002694
220,0,366.15,744253002700
265,0,612.16,048702005947
324,0,612.16,048702005923
325,13,653.04,048702005930
347,25,675.0,736676085026
348,0,860.44,619835016379
349,0,823.08,619835060327
350,0,823.08,619835060310
351,0,823.08,619835060334
352,0,1087.91,619835090058
353,0,1094.51,619835100085
354,0,2340.66,619835100054
410,25,1254.39,810237023006
450,0,612.16,048702005961
459,0,612.16,048702005954
465,25,569.0,736676054527
468,0,1133.0,798681534845
471,0,1133.0,798681538812
678,0,389.0,082442736396
679,25,389.0,082442736389
702,11,2799.0,806703911748
1093,25,465.56,786162200433
1212,21,68.97,855319005075
1224,25,599.0,723364209352
1252,0,389.0,741566600685
1291,25,837.36,787450071186
1292,0,848.24,787450232792
1293,6,356.67,048702004087
1294,0,356.67,048702004094
1303,25,262.0,736676049233
1304,25,350.0,736676049240
1376,0,1368.43,048702006012
1377,0,1429.75,048702006029
1384,0,762.22,810237020012
1385,0,762.22,810237020210
1386,0,802.51,810237022139
1533,0,423.08,619835011114
1621,0,458.87,048702005541
1622,0,458.87,048702005558
1630,10,629.0,642230260405
1631,4,629.0,642230260375
1632,10,709.0,642230261853
1664,0,413.63,855959008559
1665,1,426.34,855959009594
1715,0,458.87,048702005589
1726,25,332.0,736676083367
1727,2,387.64,602686067393
1728,6,374.58,602686047395
1729,24,363.69,602686087391
1730,0,338.64,602686167390
1933,9,1208.79,869481000103
1945,0,392.0,736676083299
1948,4,306.67,752334600028
1949,19,310.11,752334600004
1950,13,306.67,752334600035
1951,20,315.5,752334600059
1952,25,315.5,752334600042
1953,25,315.5,752334600066
1954,4,329.62,752334600080
1955,16,330.36,752334600073
1956,0,330.36,752334600097
1957,25,303.47,752334038081
1958,0,165.14,752334010001
1959,0,163.62,752334010087
1960,4,181.5,752334010032
1961,12,180.05,752334010018
1962,10,179.63,752334010025
1963,2,180.46,752334010056
1964,1,180.88,752334010094
1965,7,177.2,752334010049
1966,19,175.42,752334010070
1967,1,180.46,752334010100
1968,0,177.0,752334010063
1994,0,458.87,048702005565
2250,0,648.0,736676057733
2338,25,465.56,813393016134
2339,25,465.56,813393016141
2357,1,128.03,816701011272
2403,0,510.7,682146371307
2405,0,510.7,682146348316
2451,0,635.91,761226087779
2452,14,635.91,761226086789
2453,2,635.91,761226087786
2454,24,635.91,761226086796
2459,0,635.91,761226086826
2460,0,635.91,761226086833
2461,0,559.69,761226087816
2462,9,559.69,761226086840
2463,0,559.69,761226087823
2464,25,559.69,761226086857
2466,0,559.69,761226086864
2468,0,559.69,761226086871
2537,0,2663.13,811826021052
2538,0,2936.36,811826021069
2539,0,2555.06,811826021076
