upc,msrp,price1,available
034337000013,38.98,22.66,0
034337000020,38.98,22.66,1
034337000068,38.98,22.66,0
034337000075,38.98,22.66,0
034337000105,38.98,22.66,12
034337000112,38.98,22.66,6
nan,32.0,9.95,2559
723189000486,12.95,7.92,3
723189000493,26.95,17.88,19
723189000509,11.95,8.55,20
723189000516,11.95,8.55,5
723189000523,11.95,8.55,0
723189000530,11.95,8.55,6
723189000547,11.95,8.55,5
723189000554,11.95,8.55,6
723189000561,12.95,7.92,46
723189000578,24.95,16.85,18
723189000615,26.95,17.88,9
044224610300,4.99,3.8,19
044224612700,4.99,3.8,0
044224616609,5.99,4.12,0
723189000622,20.95,14.31,21
044224624109,6.99,3.97,7
723189000646,20.95,14.31,12
044224060952,8.49,4.75,10
044224068507,4.99,3.3,8
044224068606,8.49,4.9,29
044224068651,12.99,7.35,19
044224068712,7.99,4.4,36
044224068743,9.49,5.5,0
044224068781,10.79,6.18,50
044224102058,6.99,3.96,36
044224070807,10.99,6.37,189
044224070852,6.79,3.96,18
044224671783,8.79,5.18,26
044224071873,6.79,4.12,0
044224072009,11.99,6.4,7
044224072016,13.99,7.8,12
044224072221,15.49,9.1,42
044224073006,10.99,6.16,157
044224076007,8.49,4.78,3
044224076014,17.99,10.41,0
4046654009347,375.0,350.95,0
723189000981,12.95,7.67,11
723189000998,12.95,7.67,35
894717001043,89.99,68.19,5
723189001100,16.95,9.52,53
723189001117,16.95,9.52,12
894717001128,29.99,19.89,2
723189001131,16.95,9.52,6
723189001148,16.95,9.52,37
4046654011531,64.95,59.95,0
4046654011548,84.95,78.95,3
4046654014853,25.5,23.95,3
810024611522,20.99,13.45,0
022188001532,44.99,27.1,42
043552029761,13.99,12.13,30
810024611515,10.99,7.6,0
021291001668,9.99,5.35,77
021291001675,11.99,6.59,82
021291001682,14.99,8.04,70
894717001739,59.99,33.49,1
894717001777,129.99,89.99,11
021291001811,9.99,6.38,131
894717001937,39.99,26.4,3
894717001944,249.99,129.78,0
792695347125,90.99,38.95,2
792695362098,90.99,45.25,7
792695295327,90.99,50.36,2
792695295488,90.99,50.36,1
792695357216,90.99,50.36,4
792695363057,90.99,50.36,2
792695234128,90.99,50.36,1
792695270072,90.99,38.0,0
792695254041,90.99,50.36,1
792695315476,90.99,50.36,3
792695347149,90.99,50.36,2
792695362111,90.99,50.36,2
792695363071,90.99,50.36,2
792695342298,90.99,50.36,2
792695234319,90.99,50.36,3
792695234166,90.99,50.36,1
792695200451,90.99,50.36,1
792695270096,90.99,50.36,2
792695315544,90.99,50.36,1
021291002603,5.99,3.12,90
021291002610,7.99,4.18,80
021291002689,5.99,3.33,166
894717002811,39.99,27.99,0
021291002993,5.99,3.28,22
792695347163,88.99,49.26,2
792695347910,88.99,49.26,2
792695362135,88.99,49.26,7
792695295723,88.99,49.26,1
792695295761,88.99,49.26,2
792695303374,88.99,38.95,0
792695357254,88.99,49.26,3
792695363095,88.99,49.26,2
792695342397,88.99,49.26,1
792695362715,88.99,49.26,0
792695203780,88.99,49.26,1
792695342434,88.99,49.26,1
792695226208,88.99,49.26,2
792695212942,88.99,49.26,1
792695309376,88.99,49.26,1
792695203452,86.99,47.76,2
792695264484,88.99,49.26,1
792695301929,88.99,49.26,3
792695270119,88.99,49.26,0
792695293866,88.99,41.5,4
792695276029,88.99,49.26,2
792695297802,88.99,49.26,1
792695306672,88.99,49.26,2
792695307167,88.99,49.26,1
792695323259,88.99,49.26,0
792695347187,88.99,49.26,3
792695347934,88.99,49.26,1
792695362159,88.99,49.26,5
792695357278,88.99,49.26,1
792695363118,88.99,49.26,1
792695362739,88.99,49.26,0
792695213574,88.99,49.26,1
792695342458,88.99,49.26,0
792695226222,88.99,49.26,3
792695213086,88.99,49.26,1
792695236528,88.99,49.26,2
792695309390,88.99,49.26,1
792695265641,88.99,49.26,1
792695270133,88.99,49.26,2
792695293880,88.99,49.26,2
792695323273,88.99,49.26,0
021291003211,6.99,5.24,20
021291003228,6.99,5.24,0
021291003235,6.99,5.24,19
021291003242,6.99,5.24,22
894717003399,39.99,23.16,10
894717003405,59.99,37.97,6
894717003429,69.99,51.38,3
894717003467,49.99,31.97,11
894717003870,59.99,39.6,5
894717003894,49.99,38.99,0
894717003993,24.99,15.0,12
034337004011,31.5,18.31,0
034337004028,31.5,18.31,4
034337004066,31.5,15.99,1
034337004080,31.5,18.31,3
021291006311,9.99,5.77,40
021291006397,14.99,8.83,62
021291006434,7.99,4.43,318
021291006458,34.99,19.93,24
021291006496,19.99,11.71,12
021291006557,19.99,11.71,55
021291006564,19.99,11.71,10
021291006571,19.99,11.71,33
021291006588,19.99,11.71,28
021291006595,19.99,11.71,24
021291006601,19.99,11.71,49
021291006618,19.99,11.71,9
021291006625,19.99,11.71,36
021291006649,19.99,11.71,7
021291006656,19.99,11.71,43
021291006663,19.99,11.71,98
021291006694,19.99,11.71,8
743108007105,26.95,17.26,0
743108007112,26.95,17.26,11
743108007204,26.95,17.26,4
743108007211,26.95,17.26,2
743108007303,26.95,17.26,4
743108007310,26.95,17.26,6
021291007912,3.99,1.64,34
034337008132,45.98,26.73,12
021291008490,17.99,9.45,59
707708001864,139.99,75.55,0
815511022829,39.99,24.99,9
815511022218,39.99,24.99,11
815511028265,39.99,24.99,10
815511027558,39.99,24.99,11
815511021372,24.99,15.65,24
815511025134,24.99,14.95,23
850002469998,35.99,17.5,1
815511028401,24.99,15.65,27
021291010042,12.99,6.38,31
815511026346,24.99,15.65,29
815511023864,14.99,9.95,39
021291010066,12.99,6.38,4
815511020429,19.99,13.25,15
815511027725,29.99,18.95,24
815511020993,19.99,13.25,13
810048570386,969.99,609.23,0
810048570393,1099.99,499.99,0
810048570492,844.99,528.0,1
810048570461,844.99,528.0,0
810048570478,844.99,474.99,3
810048570348,519.99,324.91,3
810048570300,584.99,365.53,3
810048570355,259.99,162.44,3
810048570270,259.99,162.44,0
810048570287,259.99,162.44,3
810048570294,329.99,203.05,7
810048570324,259.99,139.99,5
810048570317,329.99,203.05,9
