I,UPC
144,602686441001
145,602686441100
219,744253002694
220,744253002700
265,048702005947
324,048702005923
325,048702005930
347,736676085026
348,619835016379
349,619835060327
350,619835060310
351,619835060334
352,619835090058
353,619835100085
354,619835100054
410,810237023006
450,048702005961
459,048702005954
465,736676054527
468,798681534845
471,798681538812
678,082442736396
679,082442736389
702,806703911748
1093,786162200433
1212,855319005075
1224,723364209352
1252,741566600685
1291,787450071186
1292,787450232792
1293,048702004087
1294,048702004094
1303,736676049233
1304,736676049240
1376,048702006012
1377,048702006029
1384,810237020012
1385,810237020210
1386,810237022139
1533,619835011114
1621,048702005541
1622,048702005558
1630,642230260405
1631,642230260375
1632,642230261853
1664,855959008559
1665,855959009594
1715,048702005589
1726,736676083367
1727,602686067393
1728,602686047395
1729,602686087391
1730,602686167390
1933,869481000103
1945,736676083299
1948,752334600028
1949,752334600004
1950,752334600035
1951,752334600059
1952,752334600042
1953,752334600066
1954,752334600080
1955,752334600073
1956,752334600097
1957,752334038081
1958,752334010001
1959,752334010087
1960,752334010032
1961,752334010018
1962,752334010025
1963,752334010056
1964,752334010094
1965,752334010049
1966,752334010070
1967,752334010100
1968,752334010063
1994,048702005565
2250,736676057733
2338,813393016134
2339,813393016141
2357,816701011272
2401,682146348163
2403,682146371307
2404,682146348286
2405,682146348316
2451,761226087779
2452,761226086789
2453,761226087786
2454,761226086796
2459,761226086826
2460,761226086833
2461,761226087816
2462,761226086840
2463,761226087823
2464,761226086857
2466,761226086864
2468,761226086871
2537,811826021052
2538,811826021069
2539,811826021076
2665,736676058648
2667,642230261822
2668,642230253445
2669,642230261877
2670,642230264588
2672,642230261846
2679,098289020246
2680,098289020253
2695,082442838038
2696,082442794792
2697,082442837956
2703,706397900793
2723,619835011138
2724,619835016348
2725,619835100047
2756,856304004745
2797,848037036346
2811,619835011121
2999,736676032532
3002,761226087694
3004,761226087861
3005,761226087946
3012,798681504114
3015,015813522823
3016,015813532709
3017,015813543392
3029,015813624190
3033,015813624374
3036,015813852708
3040,015813825405
3094,845737006211
3095,845737005061
3211,678958744293
3212,678958644296
3213,678958644203
3214,678958638202
3215,678958522303
3216,678958522402
3219,678958699203
3221,678958640205
3222,678958645200
3241,723364209932
3242,723364209949
3243,723364209956
3244,723364209963
3251,806703011363
3265,806703013527
3269,806703911366
3277,806703912608
3282,806703912615
3286,806703913513
3287,806703913520
3340,806703022666
3360,806703060927
3361,806703060934
3364,806703065823
3413,815604015325
3437,815604018456
3438,815604018463
3439,815604015332
3443,815604015547
3444,815604016605
3445,815604015318
3499,815604015738
3504,815604016117
3543,850013439171
3594,850013439119
3601,850013439041
3604,850013439003
3606,850013439034
3639,810237023082
3642,810237023044
3644,810237023204
3718,619835016331
3719,619835016423
3720,619835016393
3721,619835016287
3726,619835110015
3732,619835200099
3733,619835300003
3734,619835300010
3735,619835300027
3779,736676036202
3797,602686068291
4041,706397904074
