Item #, Item Description, MSP, Retail Price, Dealer Price, Sale Price, Sale Ends, Quantity, UPC Code, Manufacturer, Gun Type, Model Series, Caliber, Action, Capacity, Finish,Stock, Sights, Barrel Length, Overall Length, Features
LA-HBG-24,TPL LG ALUM DAMASCUS TANTO,$199.99,$249.99,$199.99,,,3,##,,,,,,,,,,,,
SA-FL-22-1,TPL SMA FALLEN TANTO D2,$119.49,$169.99,$119.49,,,4,##,,,,,,,,,,,,
SA-MDT-32-1,TPL SMA MAIDEN TEAL DROP PT D2,$119.49,$169.99,$119.49,,,3,##,,,,,,,,,,,,
ATIGFXS917,ATA FXS-9 SA PST 9MM 4B 17RD,$279.95,$349.95,$279.95,,,0,#819644028284#,American Tactical Inc,Pistol: Semi-Auto,FXS,9MM,Single Action,17+1,Matte Black,Polymer w/Interchangeable Backstrap (S/M/L),Front:  Rear: Drift Adjustable,4.1,7.45,Ambidextrous Magazine Release
ATIGFXH45,ATA FX45 HBRD 1911 45AP 5B 8RD,$454.95,$599.95,$454.95,,,0,#813393018497#,American Tactical Inc,Pistol: Semi-Auto,FX45|1911,45AP,Single Action,8+1,Matte Black,Polymer Frame W/ Finger Grooves,Front: Hi-Viz Rear: Serrated Black Fixed,5,8.46,Polymer Frame W/ 2 Metal Inserts
ATIGFXH45M,ATA FX45 MOXI 1911 45AP 5B 8RD,$359.95,$459.95,$359.95,,,0,#819644025399#,American Tactical Inc,Pistol: Semi-Auto,FXH45|1911,45AP,Single Action,8+1,Matte Black,Polymer Frame W/ Finger Grooves/4140 Slide,Fixed /Accepts Glock Sights,5,8.46,Polymer Frame W/ 2 Metal Inserts/4140 Slide
GERG2210M1911,ATA GSG 1911 22LR 5B WOOD 10RD,$269.95,$369.95,$269.95,,,41,#813393011504#,American Tactical Inc,Pistol: Semi-Auto,1911,22LR,Single Action,10+1,Blue,Wood Grips,Fixed Sights,5,8.5,Threaded Barrel M9x.75
GERG2210M1911G,ATA GSG 1911 22LR 5B 10RD ODG,$269.95,$369.95,$269.95,$269.95,3/31/2023,28,#813393018435#,American Tactical Inc,Pistol: Semi-Auto,1911,22LR,Single Action,10+1,OD Green,Wood Grips,Fixed Sights,5,8.5,Threaded Barrel
GERG2210M1911T,ATA GSG 1911 22LR 5B 10RD FDE,$269.95,$369.95,$269.95,$254.95,3/15/2023,46,#813393018442#,American Tactical Inc,Pistol: Semi-Auto,1911,22LR,Single Action,10+1,FDE,Wood Grips,Fixed Sights,5,8.5,Threaded Barrel
GERG2210M1911S,ATA GSG 1911 22LR 5 2 TONE 10R,$269.95,$369.95,$269.95,,,85,#813393013911#,American Tactical Inc,Pistol: Semi-Auto,1911,22LR,Single Action,10+1,2 Tone,Black Grips,Fixed Sights,5,8.5,Threaded Barrel
GERG2210M1911CA,ATA GSG 1911 22LR 5B WD 10R CA,$279.95,$389.95,$279.95,,,11,#813393013959#,American Tactical Inc,Pistol: Semi-Auto,1911,22LR,Single Action,10+1,Blue,Wood Grips,Fixed Sights,5,8.5,
GERG1911ADOP,ATA GSG 1911AO PST 22LR 5B 10R,$279.95,$389.95,$279.95,$254.95,3/15/2023,35,#813393012600#,American Tactical Inc,Pistol: Semi-Auto,1911,22LR,Single Action,10+1,Blue,Black Plastic Grips,Fixed Sights,5 without Faux Suppressor,12.5 with Faux Suppressor and 8.5 without,Threaded Barrel Metric M9x.75
GERG1911ADOPGR,ATA GSG 1911AO 22LR 5B 10R GRY,$279.95,$389.95,$279.95,,,0,#819644029069#,American Tactical Inc,Pistol: Semi-Auto,1911,22LR,Single Action,10+1,Blue,Black Plastic Grips,Fixed Sights,5 without Faux Suppressor,12.5 with Faux Suppressor and 8.5 without,Threaded Barrel Metric M9x.75
GERG2210GSG9CA,ATA GSG-922 22LR 3.4B 10RD CA,$279.95,$389.95,$279.95,,,0,#813393016806#,American Tactical Inc,Pistol: Semi-Auto,GSG-922,22LR,Single Action,10+1,Blue,Black Grips,Click Adjustable Target Sight,3.4,7,Compatible with 1911 Parts
GERG2210TFF,ATA GSG FIRFLY 22LR TB 10R BLK,$209.95,$299.95,$209.95,,,1,#813393019685#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Blue,Black Grips,Adjustable Rear Sight,4.9,8.2,Polymer Frame/ Integrated Accessory Rail
